analysis	table_id	mode	depth	positive_samples	negative_samples	top_label	n_cases	n_controls	or	ci_low	ci_high	p_value	q_value	bayes_or	bayes_lo	bayes_hi
uc_extent	S13A	Rebuilt	1	120	173	Bacteroides dorei	96	152	0.553772297639923	0.276442517286931	1.10155768088536	0.0719089700568966	0.0719089700568967	0.552916273284513	0.290343087001186	1.04719093957294
uc_extent	S13A	Rebuilt	2	120	173	Segatella sp.__Faecalibacterium prausnitzii	24	21	1.80579636117917	0.907805389905923	3.61738856169529	0.0719089700568967	0.236740935689634	1.81042254110418	0.962896813816999	3.47311679848655
uc_extent	S13A	Rebuilt	3	120	173	Segatella sp.__Faecalibacterium prausnitzii__Escherichia-Shigella coli	0	10	0	0	0.621953400622906	0.00636420573939742	0.0890988803515639	0.0304455091995746	6.29822535537704e-05	0.374022016362786
uc_extent	S13A	Rebuilt	4	120	173	Segatella sp.__Faecalibacterium prausnitzii__Escherichia-Shigella coli	0	10	0	0	0.621953400622906	0.00636420573939742	0.108191497569756	0.0303481839163327	7.18110192311307e-05	0.379726312746956
uc_extent	S13A	AGP transfer	1	120	173	Faecalibacterium prausnitzii	22	13	2.75300848318989	1.26041205832551	6.24190053933241	0.00601081649067357	0.186335311210881	2.74743130268899	1.33081099925917	5.76089395119496
uc_extent	S13A	AGP transfer	2	120	173	Bacteroides dorei__Akkermansia muciniphila	6	0	Inf	1.7423361314633	Inf	0.00437643131457794	0.332608779907924	41.6520960359824	2.99756344324686	19019.8371786368
uc_extent	S13A	AGP transfer	3	120	173	Bacteroides dorei__Akkermansia muciniphila__Faecalibacterium prausnitzii	6	0	Inf	1.7423361314633	Inf	0.00437643131457794	0.442019562772372	40.7488284359408	3.02334197172747	21141.6280555279
uc_extent	S13A	AGP transfer	4	115	170	Bacteroides dorei__Akkermansia muciniphila__Faecalibacterium prausnitzii	6	0	Inf	1.78895246646358	Inf	0.00398613246314836	0.406585511241132	41.9343701144957	3.00202664365969	20321.0434219613
cd_location	S13B	Rebuilt	1	133	77	Bacteroides dorei	105	54	1.59361844259418	0.79499978615943	3.1797376439375	0.18188078217547	0.18188078217547	1.59543838751343	0.83101250866128	3.04065940906877
cd_location	S13B	Rebuilt	2	133	77	Bacteroides dorei__Faecalibacterium prausnitzii	11	26	0.178517098942418	0.07373292628796	0.40683286050382	7.33711889535648e-06	4.40227133721389e-05	0.17781620107956	0.0804547512221868	0.374267879786065
cd_location	S13B	Rebuilt	3	133	77	Bacteroides dorei__Faecalibacterium prausnitzii__Bacteroides stercoris	11	26	0.178517098942418	0.07373292628796	0.40683286050382	7.33711889535648e-06	6.60340700582084e-05	0.178516691470995	0.0795665133061574	0.377633302453279
cd_location	S13B	Rebuilt	4	133	77	Bacteroides dorei__Faecalibacterium prausnitzii__Bacteroides stercoris__Agathobacter faecis	5	13	0.193927674636817	0.0518102037409778	0.611040489475993	0.0016954542251249	0.0186499964763739	0.197849547179099	0.0612174997646156	0.551056454388908
cd_location	S13B	AGP transfer	1	133	77	Faecalibacterium prausnitzii	4	16	0.119492076106825	0.0279035217608155	0.391165352021561	4.24205188957196e-05	0.00101809245349727	0.12101819432891	0.035523905860234	0.343372124322456
